step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
1760000,0,-0.016,,4089.203,1543.792507,2027.964844,0.06362515413,100.3,1041.091238,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.146305799,0.01436267234,0.02028720826
1780000,0,0.322,,4109.276,1543.314561,2027.964844,0.06332842415,100.3,1041.396447,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.162121773,,
1800000,0,-0.142,,4174.256,1543.64212,2027.964844,0.06233389708,100.3,1042.077093,1482.507813,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.11981535,0.01172288042,0.01684198156
1820000,0,0.093,,4204.679,1543.360801,2027.964844,0.06188534421,100.3,1042.377904,1502.714844,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.122211218,,
1840000,0,0.047,,4282.736,1543.786525,2027.964844,0.06076307113,100.3,1049.24627,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.127112865,0.01183624845,0.01886543445
1860000,0,0.069,,4308.928,1543.325767,2027.964844,0.06039325843,100.3,1050.908916,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.096474171,,
1880000,0,-0.229,,4383.861,1543.600218,2027.964844,0.05935127674,100.3,1056.1856,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.089905739,0.01118609868,0.02845441364
1900000,0,0.39,,4411.086,1542.951989,2027.964844,0.05898491084,100.3,1057.922336,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.135335684,,
1920000,0,0.191,,4490.79,1543.067727,2027.964844,0.05793846845,100.3,1062.949306,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.09266758,0.01201021299,0.02443455718
1940000,0,0.3,,4518.36,1542.65402,2027.964844,0.05758928571,100.3,1064.455235,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.099916935,,
1960000,0,0.138,,4539.979,1542.333745,2027.964844,0.05730786317,100.3,1065.861131,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.088929176,,
1980000,0,-0.125,,4613.881,1541.837766,2027.964844,0.05639344262,100.3,1070.300091,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.063312769,0.008165527135,0.03049201518
2000000,0,0.176,,4639.036,1541.345974,2027.964844,0.05608695652,100.3,1071.732901,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.051084995,,
2020000,0,-0.126,,4713.9,1540.87629,2027.964844,0.05519897304,100.3,1076.349734,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.046951056,0.00958012417,0.03762833402
2040000,0,0.325,,4746.84,1540.172265,2027.964844,0.05481198215,100.3,1078.307546,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.113860369,,
2060000,0,0.308,,4822.232,1539.736848,2027.964844,0.0539523212,100.3,1082.389478,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.115452051,0.01097213384,0.03263073415
2080000,0,0.154,,4847.206,1539.084157,2027.964844,0.05367172873,100.3,1083.720224,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.029686928,,
2100000,0,0.263,,4930.012,1538.546638,2027.964844,0.05277152792,100.3,1088.20622,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.089175224,0.01119706407,0.03307611868
2120000,0,0.275,,4956.613,1537.962902,2027.964844,0.0524923703,100.3,1089.414536,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.062023163,,
2140000,0,-0.148,,5041.24,1537.619482,2027.964844,0.05161032206,100.3,1093.601186,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.030761719,0.01471152529,0.03964778408
2160000,0,-0.022,,5066.563,1537.270855,2027.964844,0.05135350318,100.3,1094.665247,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.025016785,,
2180000,0,0.152,,5142.476,1537.343781,2027.964844,0.0505981565,100.3,1097.671858,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.056874275,0.01310777292,0.04175420105
2200000,0,0.458,,5165.956,1537.108073,2027.964844,0.05036111653,100.3,1098.561083,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.030051947,,
2220000,0,0.353,,5233.14,1536.862858,2027.964844,0.04972056273,100.3,1100.911846,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.014422178,0.01353390049,0.04381448403
2240000,0,0.202,,5259.972,1536.282292,2027.964844,0.04946319018,100.3,1101.857703,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.037747145,,
